vehicle_id,year,make,model,bat_url,image_count,bat_import_count,queue_image_count,low_res_count,external_listing_count,max_current_bid,max_end_date,has_active_listing,primary_issue,all_issues
"e9c7ecb8-ccda-493f-b48b-0ddeac47b3ed","2002","Mercedes","benz c240 sedan","https://bringatrailer.com/listing/2002-mercedes-benz-c240-sedan-5/","0","0","0","0","1","","","false","NO_IMAGES","NO_IMAGES"
"9956a6f5-d6c5-4e97-9e29-1b5a93c3ce0f","2022","Land","rover range rover sport","https://bringatrailer.com/listing/2022-land-rover-range-rover-sport-14/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"cd77cafa-c02c-433b-9521-a5c20325b891","2007","Mercedes","benz sl550","https://bringatrailer.com/listing/2007-mercedes-benz-sl550-161/","0","0","0","0","0","","","false","NO_IMAGES","NO_IMAGES;MISSING_AUCTION_DATA"
"b4cc70c2-5c33-488a-bc6f-f805c22baee1","2011","Bmw","m3 coupe","https://bringatrailer.com/listing/2011-bmw-m3-coupe-109/","24","24","0","0","1","","","true","MISSING_CURRENT_BID","MISSING_CURRENT_BID;MISSING_END_DATE"
"25fcaf15-6f5d-4d42-9bf2-7b69da9dfd1b","2001","Ford","mustang svt cobra convertible","https://bringatrailer.com/listing/2001-ford-mustang-svt-cobra-convertible-12/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"e0783171-0948-4ac0-9778-191dc89eeb39","1966","Ford","Mustang","https://bringatrailer.com/listing/1966-ford-mustang-931/","0","0","0","0","1","","","false","NO_IMAGES","NO_IMAGES"
"85ad89bb-192a-4844-98fc-ad7cb334bfbe","2024","Ferrari","296 Challenge for","https://bringatrailer.com/listing/2024-ferrari-296-challenge/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"e1aaadd4-0103-4ab1-8daa-b9d474f500c4","2020","Mercedes","benz sprinter rv conversion","https://bringatrailer.com/listing/2020-mercedes-benz-sprinter-rv-conversion-15/","0","0","0","0","1","","","true","NO_IMAGES","NO_IMAGES;MISSING_CURRENT_BID;MISSING_END_DATE"
"26779067-b3e5-495c-8a7a-0f67edecafc6","1963","Volkswagen","beetle","https://bringatrailer.com/listing/1963-volkswagen-beetle-100/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"140ff6cc-760d-45b6-bb6b-effec8602deb","1969","Ford","f 250","https://bringatrailer.com/listing/1969-ford-f-250-92/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"43aab9a3-6b6d-4d53-a3df-8b8caf2c6ada","1970","Chevrolet","chevelle","https://bringatrailer.com/listing/1970-chevrolet-chevelle-117/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
"0bc6c356-bdbc-420f-9dfc-bae4d8cf7a37","1996","Ford","f 350","https://bringatrailer.com/listing/1996-ford-f-350-117/","12","0","12","0","0","","","false","FEW_IMAGES","FEW_IMAGES;QUEUE_BADGES;WRONG_SOURCE;MISSING_AUCTION_DATA"
